method,top1_accuracy
tfidf,0.3148148148148148
embedding,0.12962962962962962
attention_2_3,0.037037037037037035
attention_0_0,0.0
attention_0_2,0.0
attention_0_1,0.0
attention_0_4,0.0
attention_0_5,0.0
attention_0_6,0.0
attention_0_3,0.0
attention_0_7,0.0
attention_0_8,0.0
attention_0_10,0.0
attention_0_9,0.0
attention_1_0,0.0
attention_1_1,0.0
attention_1_2,0.0
attention_0_11,0.0
attention_1_4,0.0
attention_1_5,0.0
attention_1_6,0.0
attention_1_7,0.0
attention_1_8,0.0
attention_1_9,0.0
attention_1_10,0.0
attention_1_3,0.0
attention_1_11,0.0
attention_2_0,0.0
attention_2_1,0.0
attention_2_2,0.0
attention_2_4,0.0
attention_2_5,0.0
attention_2_6,0.0
attention_2_7,0.0
attention_2_8,0.0
attention_2_9,0.0
attention_2_10,0.0
attention_2_11,0.0
attention_3_0,0.0
attention_3_1,0.0
attention_3_2,0.0
attention_3_3,0.0
attention_3_4,0.0
attention_3_5,0.0
attention_3_6,0.0
attention_3_7,0.0
attention_3_8,0.0
attention_3_9,0.0
attention_3_10,0.0
attention_3_11,0.0
attention_4_0,0.0
attention_4_1,0.0
attention_4_2,0.0
attention_4_3,0.0
attention_4_4,0.0
attention_4_5,0.0
attention_4_6,0.0
attention_4_7,0.0
attention_4_8,0.0
attention_4_9,0.0
attention_4_10,0.0
attention_4_11,0.0
attention_5_0,0.0
attention_5_1,0.0
attention_5_2,0.0
attention_5_3,0.0
attention_5_4,0.0
attention_5_5,0.0
attention_5_6,0.0
attention_5_7,0.0
attention_5_8,0.0
attention_5_9,0.0
attention_5_10,0.0
attention_5_11,0.0
